tree,wave,weighted,mean_branch,nBranches
30,whole epidemic,272.48670301907185,654.854655211318,566
30,Wave 1,173.92442875854908,579.8194861782166,130
30,Wave 2,281.589211583456,606.6314155172255,239
30,Wave 3,332.61653016565975,697.0400086841901,224
31,whole epidemic,268.62203383933667,602.9377014471659,566
31,Wave 1,168.8875954891091,403.8769045967862,132
31,Wave 2,282.8274137088542,514.6188639225263,248
31,Wave 3,325.15436834008165,763.1863407516377,219
32,whole epidemic,244.71556303500552,531.1391560784851,566
32,Wave 1,159.34268350047503,388.63903200418093,132
32,Wave 2,260.20520710558554,586.6046518272478,244
32,Wave 3,290.6118332079553,505.6129558927514,221
33,whole epidemic,251.7100687722923,562.6979247448912,566
33,Wave 1,163.5691453614067,394.4480286419623,132
33,Wave 2,267.571874457641,634.0962343049947,252
33,Wave 3,292.15966675671126,516.2927028209856,217
34,whole epidemic,256.03934606568754,572.5431556263794,566
34,Wave 1,157.67745742479377,415.5516519071331,130
34,Wave 2,276.4276183673459,545.9400145728893,247
34,Wave 3,302.9903536268006,634.9819482839288,220
35,whole epidemic,260.24618160823877,574.702384268298,566
35,Wave 1,148.42032613605585,330.97603116254334,130
35,Wave 2,268.97367551155196,631.5403835007983,241
35,Wave 3,326.5666685690819,604.826000318162,223
36,whole epidemic,273.2203453197924,591.2667794161795,566
36,Wave 1,155.54719084247196,320.00688652986906,130
36,Wave 2,284.18790638137773,564.2481900267255,243
36,Wave 3,339.9006717168859,746.7338744207127,222
37,whole epidemic,257.0070271623081,516.1473313266705,566
37,Wave 1,160.28723370447617,379.3604189401421,130
37,Wave 2,274.5899364349253,557.3336744749627,245
37,Wave 3,304.71147042475815,508.5522978994084,221
38,whole epidemic,251.03309536784352,600.4628318033865,566
38,Wave 1,148.04789573005013,387.448600178527,130
38,Wave 2,266.0321149506251,624.8241209557656,245
38,Wave 3,308.79560606151324,639.090451746926,221
39,whole epidemic,245.3361950683656,511.9812864464335,566
39,Wave 1,145.06497513548203,323.20059276857586,131
39,Wave 2,265.8712526358291,547.2665702128838,246
39,Wave 3,295.88534332927065,522.4144275310975,220
40,whole epidemic,246.21066989806502,705.5171786292532,566
40,Wave 1,154.22959975304929,475.18286275437913,132
40,Wave 2,265.3449758014537,861.6449577267259,246
40,Wave 3,289.3714027306169,596.4318486649505,220
41,whole epidemic,255.47338790012006,696.5914077824215,566
41,Wave 1,156.76945299214898,1063.6076360376658,132
41,Wave 2,268.77883778090813,589.6362938395498,244
41,Wave 3,312.18137128877476,519.0521274730553,221
42,whole epidemic,264.68818830818327,624.3539636894101,566
42,Wave 1,178.84765353669758,328.2834993407326,132
42,Wave 2,274.788603906268,702.7787614458838,240
42,Wave 3,314.8324272926297,653.5984220724677,223
43,whole epidemic,265.5727312609508,630.7039222875162,566
43,Wave 1,171.17429818137944,375.369561357353,132
43,Wave 2,281.42308139118757,699.3106989838373,244
43,Wave 3,316.33025623862073,638.9140465064372,221
44,whole epidemic,250.0374605019104,764.0090121888423,566
44,Wave 1,151.36243911249477,373.4557121595531,132
44,Wave 2,259.13346124740923,577.3908160221655,244
44,Wave 3,309.7621608347744,1119.5430548667382,221
45,whole epidemic,254.14201669986213,770.6037854823724,566
45,Wave 1,156.31986943337105,401.82782309884294,130
45,Wave 2,268.5634016082438,1038.0555494685395,245
45,Wave 3,305.81114853654043,617.2846846868349,221
46,whole epidemic,261.8126717295208,645.6457980560916,566
46,Wave 1,171.43123421273705,399.96386726377045,132
46,Wave 2,270.7125256779108,685.266037237602,240
46,Wave 3,314.34762135837195,690.2766979929324,223
47,whole epidemic,260.0676072814368,598.1455190773881,566
47,Wave 1,170.61804537578496,481.555333647864,130
47,Wave 2,283.2476262793445,565.1200442028443,247
47,Wave 3,293.4178026095631,641.350035393065,220
48,whole epidemic,258.28426294476634,716.5765133040452,566
48,Wave 1,153.8466548350858,452.7545721034224,134
48,Wave 2,271.40322020759953,657.3278193482425,243
48,Wave 3,320.30298294921516,858.8644440542723,221
