state,G1,G1_stem,G1_mono,G2,G2_stem,G2_mono,CIV,CIV_stem,CIV_mono
STATE_186000000,2024.5784681797945,2023.7482001797946,True,2024.8226801797946,2024.2867601797946,True,2024.8451925497945,2018.5980925497945,True
STATE_187000000,2024.6613328097944,2023.8527518097944,True,2024.6492387097944,2023.8926917097945,True,2025.0012075478944,2018.7708075478945,True
STATE_188000000,2024.4787674897946,2023.8628344897945,True,2024.6927614897945,2023.8423034897946,True,2025.0676524297946,2018.7666324297945,True
STATE_189000000,2024.6857410997945,2024.0380120997947,True,2024.8226620997946,2023.8608480997946,True,2024.9314070397947,2018.7801670397946,True
STATE_190000000,2024.5667096097945,2023.9281326097946,True,2024.4662886097944,2023.6409256097945,True,2025.0322034197945,2018.6992034197945,True
STATE_191000000,2024.6698121490074,2023.8675581490074,True,2024.6164751490076,2023.7507931490074,True,2025.1079432490076,2018.6496732490075,True
STATE_192000000,2024.5217908507946,2023.6958738507947,True,2024.4963623507945,2023.6509253507945,True,2025.1298912807945,2018.7171712807944,True
STATE_193000000,2024.4635580797944,2023.7643430797946,True,2024.6033700797946,2023.6552900797944,True,2025.0839221167946,2018.9195521167944,True
STATE_194000000,2024.5116817797946,2023.9078447797945,True,2024.6407343797946,2023.5688343797945,True,2024.9724806297945,2018.6810506297945,True
STATE_195000000,2024.5079741997945,2023.8676671997946,True,2024.8078519997946,2023.7551719997946,True,2024.5776361797946,2018.6272261797947,True
STATE_196000000,2024.3948391997944,2023.8882791997946,True,2024.4378481997946,2024.1376611997946,True,2024.5195222697946,2018.8736022697944,True
STATE_197000000,2024.5597659997945,2023.9542399997947,True,2024.7004029997947,2024.0909949997947,True,2025.0717659997947,2018.6529059997947,True
STATE_198000000,2024.5436072867944,2023.7521062867945,True,2024.7815922867944,2023.5912122867944,True,2024.1793118367943,2018.7305918367945,True
STATE_199000000,2024.5502662297945,2023.8016472297945,True,2024.1035538297945,2023.7243878297945,True,2025.0003134297945,2018.6941434297946,True
STATE_200000000,2024.6268567267944,2023.9282007267943,True,2024.6452982267945,2023.6483752267945,True,2025.0137008967945,2018.7301308967944,True
STATE_201000000,2024.6155076967946,2023.8748196967945,True,2024.6461765967945,2023.7514975967945,True,2024.9674021967944,2018.5535521967945,True
STATE_202000000,2024.3532565497947,2023.8313315497946,True,2024.7368509497946,2024.3194719497947,True,2024.9540144097946,2018.6619744097945,True
STATE_203000000,2024.5370949997944,2023.5901819997944,True,2024.5168979997945,2023.4036579997944,True,2025.0374386357944,2018.7165986357945,True
STATE_204000000,2024.6706919982205,2023.6095219982205,True,2024.6880359982206,2023.4641059982205,True,2025.0718981982204,2018.7606981982206,True
STATE_205000000,2024.7126222197946,2023.9131972197947,True,2024.6782626197946,2023.7168886197946,True,2024.8692952197946,2018.6754952197946,True
STATE_206000000,2024.7041439997945,2023.8459939997945,True,2024.5973110997945,2023.7940510997946,True,2024.8928553497944,2018.6792253497945,True
STATE_207000000,2024.5295076997945,2023.8696756997945,True,2024.8036922997944,2023.7944322997946,True,2024.9314840997945,2018.7150640997945,True
STATE_208000000,2024.4215994797946,2023.9531484797947,True,2024.5508874797947,2023.7473194797947,True,2025.1053196667947,2018.7957496667946,True
STATE_209000000,2024.6308110997945,2023.8785540997947,True,2024.5375681997946,2023.8591311997945,True,2025.1315955797945,2018.6184755797947,True
STATE_210000000,2024.6551058997948,2023.9471188997948,True,2024.6430867997947,2023.8963517997947,True,2024.7982128097947,2018.6796328097946,True
STATE_211000000,2024.6572923897945,2023.8511543897944,True,2024.4768084897944,2023.8203114897944,True,2024.9609814197945,2018.6817814197946,True
STATE_212000000,2024.6109803997945,2023.7463303997945,True,2024.6727621997945,2023.7302531997946,True,2025.1305427497946,2018.7155527497946,True
STATE_213000000,2024.6247319997947,2023.9102649997947,True,2024.6989420997947,2023.8424930997946,True,2024.9949216997945,2018.5729316997947,True
STATE_214000000,2024.4715043697945,2023.9257463697945,True,2024.5520529697944,2023.8664959697944,True,2025.0494416697945,2018.5430816697944,True
STATE_215000000,2024.6109610897945,2023.8954020897945,True,2024.7467560897944,2023.8430900897945,True,2024.6485258897944,2018.6162858897944,True
