"tree","wave","velocity","diffusion","nBranches"
31,"Wave 3 (2024-2025)",324.701982684745,22120.5035433481,219
32,"Wave 3 (2024-2025)",290.219411733123,19165.9803458313,221
33,"Wave 3 (2024-2025)",291.786955527811,19185.2328175207,217
34,"Wave 3 (2024-2025)",302.593468570606,18970.3270896821,220
35,"Wave 3 (2024-2025)",326.156949064152,22289.5719288146,223
36,"Wave 3 (2024-2025)",339.46930556958,23537.3550929832,222
37,"Wave 3 (2024-2025)",304.319300228965,20290.9918549728,221
38,"Wave 3 (2024-2025)",308.409689295512,20443.7440913821,221
39,"Wave 3 (2024-2025)",295.468511853828,19790.4140059037,220
40,"Wave 3 (2024-2025)",288.959222867679,19198.0892783924,220
41,"Wave 3 (2024-2025)",311.738157703262,20419.8883518993,221
42,"Wave 3 (2024-2025)",314.409859966265,21878.7762392429,223
43,"Wave 3 (2024-2025)",315.846362225216,20644.8225285761,221
44,"Wave 3 (2024-2025)",309.32359473687,21140.3669535841,221
45,"Wave 3 (2024-2025)",305.36573016681,19543.7010938495,221
46,"Wave 3 (2024-2025)",313.899056415446,20789.888935858,223
47,"Wave 3 (2024-2025)",293.045018239654,18057.9154289204,220
48,"Wave 3 (2024-2025)",319.827845560374,21336.8168348841,221
49,"Wave 3 (2024-2025)",323.218070492325,21372.3805297321,222
50,"Wave 3 (2024-2025)",314.13330937864,19961.4529081885,222
51,"Wave 3 (2024-2025)",306.566793457004,19862.5506378224,220
52,"Wave 3 (2024-2025)",308.946410627196,19112.6367664377,222
53,"Wave 3 (2024-2025)",326.947025109052,21117.2870713349,224
54,"Wave 3 (2024-2025)",323.046897821217,21623.31815346,222
55,"Wave 3 (2024-2025)",321.97792311382,21744.4388728078,221
56,"Wave 3 (2024-2025)",311.663789322643,21734.7376757652,220
57,"Wave 3 (2024-2025)",320.615052820078,22036.804907158,223
58,"Wave 3 (2024-2025)",319.046998211404,22489.4879636036,220
59,"Wave 3 (2024-2025)",308.477818421877,21011.4744979962,224
60,"Wave 3 (2024-2025)",302.479707760433,21226.8313805391,218
61,"Wave 3 (2024-2025)",331.911888339854,23802.4493051393,220
62,"Wave 3 (2024-2025)",318.419320908831,21662.8848350164,217
63,"Wave 3 (2024-2025)",318.248061752606,20903.87988398,222
64,"Wave 3 (2024-2025)",326.35557587514,20949.4703798414,217
65,"Wave 3 (2024-2025)",318.793036453545,22013.4568523763,220
66,"Wave 3 (2024-2025)",316.705680671083,21879.5891537297,221
67,"Wave 3 (2024-2025)",289.281939231719,18305.5097557821,220
68,"Wave 3 (2024-2025)",303.328174114384,19573.0889874389,216
69,"Wave 3 (2024-2025)",317.752096158296,19668.8857501155,221
70,"Wave 3 (2024-2025)",303.263876581415,20343.198937773,222
71,"Wave 3 (2024-2025)",317.974865913458,20391.0322619132,219
72,"Wave 3 (2024-2025)",319.378920979216,21284.8933789613,219
73,"Wave 3 (2024-2025)",317.717820568835,21756.0471563148,217
74,"Wave 3 (2024-2025)",323.759488312023,21778.4151721746,219
75,"Wave 3 (2024-2025)",356.547993613943,25301.0294732318,225
76,"Wave 3 (2024-2025)",330.714813757799,21718.4268279756,224
77,"Wave 3 (2024-2025)",323.474096644057,21110.9120861711,222
78,"Wave 3 (2024-2025)",322.305783215096,22470.6877858878,221
79,"Wave 3 (2024-2025)",358.368699343512,26496.7926798328,221
80,"Wave 3 (2024-2025)",309.629843300517,20521.5542399343,220
81,"Wave 3 (2024-2025)",334.38123022273,22830.3128926132,222
82,"Wave 3 (2024-2025)",329.503893159778,22049.4770945742,221
83,"Wave 3 (2024-2025)",366.222877150398,26077.7480054136,222
84,"Wave 3 (2024-2025)",328.62147782014,22443.1329913852,216
85,"Wave 3 (2024-2025)",320.982689657503,22239.5085092079,225
86,"Wave 3 (2024-2025)",328.256210937559,22741.2875139231,221
87,"Wave 3 (2024-2025)",304.485440509383,20614.8649016327,218
88,"Wave 3 (2024-2025)",299.525254587596,20661.1737377696,218
89,"Wave 3 (2024-2025)",317.554071541725,21895.718385144,221
90,"Wave 3 (2024-2025)",315.824794730727,20518.607480736,224
91,"Wave 3 (2024-2025)",318.290109276052,21323.9763290559,219
92,"Wave 3 (2024-2025)",331.249757894703,22076.3934603908,223
93,"Wave 3 (2024-2025)",327.856101774025,21563.6135800038,223
94,"Wave 3 (2024-2025)",323.259870706989,21639.4305080389,222
95,"Wave 3 (2024-2025)",332.822694119782,22403.0603749025,223
96,"Wave 3 (2024-2025)",321.766460204738,21853.6134756963,221
97,"Wave 3 (2024-2025)",336.663156463603,23076.2114928338,222
98,"Wave 3 (2024-2025)",327.523202686724,21463.9915750237,222
99,"Wave 3 (2024-2025)",344.689155853551,23780.2560019537,219
100,"Wave 3 (2024-2025)",304.409845127676,18913.3897516488,217
