mean_branch_dispersal_velocity	weighted_branch_dispersal_velocity	branch_dispersal_velocity_variation_among_branches	original_diffusion_coefficient	weighted_diffusion_coefficient	diffusion_coefficient_variation_among_branches
512.57499504721	245.620694175011	1.71756567275616	22892.4195061121	16699.1913974897	3.22065040845365
706.335317656838	246.496183071238	4.84130114793777	21113.2544664918	17741.045643269	3.84364018306267
697.399195650946	255.769642395033	5.6623753751421	24284.2508066538	17977.1972008121	3.14876596175717
625.077982603985	264.995128557941	2.38309377943071	24212.93665935	18339.7739947051	3.14968230160581
631.43530521825	265.880697253482	2.16063374449764	23752.776243303	18453.9806908338	3.13326330091833
764.894976769977	250.327411333507	5.58346498175365	21548.6272851563	17125.493354135	2.736367666594
771.497402707348	254.436727300496	6.72426828708217	20126.8634522261	16964.3164660364	2.50681853794526
646.394508895214	262.116277447083	2.26497584634719	23234.08783202	17694.1856910436	2.94620477755489
598.839148022199	260.369189372887	1.71866548745524	21884.7699110283	16834.6627403856	2.91969831474243
717.407475627214	258.583777012387	2.23530187728949	25620.9560726194	17436.2293076513	3.11738139329035
651.593668719267	275.947952559174	2.33392231209843	26899.6241913288	19419.5983774661	3.35122763286928
569.889831152544	260.665047426319	2.10792726366215	22376.3472090057	17991.2347489593	3.14883605013811
542.183444999008	264.757521050084	1.7540274432529	22437.3435586159	17813.3576420618	2.9944121732237
569.856337373271	256.492566648229	1.84267991692382	22074.2409700855	16549.6078076269	2.96017255132285
615.042371347771	270.364163226443	1.86769151254354	22637.8193142784	18396.323270678	2.90484079570845
604.047317891269	267.407575049658	2.22219103436095	22421.3882476884	18134.5001364516	3.27147172760207
671.653030610329	265.482416253641	3.00890747435168	23585.461835492	17891.3608084053	3.01120557833411
586.194748137214	262.523924043237	2.06017232413321	22704.3468568339	17848.9216970292	2.90925047318305
624.307749919031	273.643810472738	2.02318804299524	24191.6825381854	18978.2607787854	3.24184672032154
536.151834712454	267.569158014473	1.66578922346585	24362.1653222754	18194.0350951652	3.10555752532857
524.173020495743	264.486948946576	1.78628851277194	23619.6345009302	18210.1437317968	3.5183767727628
476.286037517374	240.323049903765	2.01790257739975	19586.1154272534	15678.5555750352	3.20116177220408
